"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/order/order.selectors.js", "JavaScript", 14, 0, 0, 5, 19
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/order/order.types.js", "JavaScript", 6, 0, 0, 1, 7
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/payment/payment.actions.js", "JavaScript", 5, 0, 0, 2, 7
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/payment/payment.reducers.js", "JavaScript", 15, 0, 0, 3, 18
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/payment/payment.selectors.js", "JavaScript", 6, 0, 0, 3, 9
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/payment/payment.types.js", "JavaScript", 3, 0, 0, 1, 4
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/product/product.actions.js", "JavaScript", 25, 0, 0, 7, 32
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/product/product.reducers.js", "JavaScript", 41, 0, 0, 2, 43
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/product/product.selectors.js", "JavaScript", 33, 0, 1, 7, 41
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/product/product.types.js", "JavaScript", 8, 0, 0, 1, 9
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/product/product.utils.js", "JavaScript", 14, 0, 0, 3, 17
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/root-reducer.js", "JavaScript", 23, 0, 0, 5, 28
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/user/user.actions.js", "JavaScript", 8, 0, 0, 3, 11
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/user/user.reducers.js", "JavaScript", 20, 0, 0, 3, 23
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/user/user.selectors.js", "JavaScript", 17, 0, 0, 4, 21
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/user/user.types.js", "JavaScript", 4, 0, 0, 1, 5
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/store.js", "JavaScript", 11, 0, 0, 5, 16
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/utils/utils.js", "JavaScript", 3, 0, 0, 1, 4
"Total", "-", 4422, 15, 137, 454, 5028
